Region,total,high_income_true,high_income_false,high_income_na,percent_true,percent_false,percent_unknown
Central,19984,18105,334,1545,90.59747798238591,1.6713370696557244,7.731184947958367
Northland,6804,6038,135,631,88.7419165196943,1.984126984126984,9.27395649617872
Northwest,3946,3533,90,323,89.53370501773948,2.2807906741003547,8.185504308160162
Southern,20368,18188,336,1844,89.29693637077769,1.6496465043205029,9.053417124901806
Southwest,6402,5697,116,589,88.98781630740393,1.8119337706966572,9.200249921899406
Twin Cities,71899,62893,1034,7972,87.47409560633666,1.4381284857925702,11.087775907870762
West Central,6044,5494,89,461,90.90006618133685,1.472534745201853,7.627399073461285
