Region,percent_true,percent_false,percent_unknown,total,PctIncreaseInDontCare
Central,90.59747798238591,1.6713370696557244,7.731184947958367,19984,3
Northland,88.7419165196943,1.984126984126984,9.27395649617872,6804,3
Northwest,89.53370501773948,2.2807906741003547,8.185504308160162,3946,2
Southern,89.29693637077769,1.6496465043205029,9.053417124901806,20368,13
Southwest,88.98781630740393,1.8119337706966572,9.200249921899406,6402,3
Twin Cities,87.47409560633666,1.4381284857925702,11.087775907870762,71899,-1
West Central,90.90006618133685,1.472534745201853,7.627399073461285,6044,5
