Region,total,afterschool_true,afterschool_false,afterschool_na,percent_true,percent_false,percent_unknown
Central,19984,15226,4758,0,76.19095276220976,23.80904723779023,0
Northland,6804,5135,1669,0,75.47031158142269,24.529688418577308,0
Northwest,3946,2927,1019,0,74.17638114546376,25.82361885453624,0
Southern,20368,15312,5056,0,75.17674783974863,24.823252160251375,0
Southwest,6402,4667,1735,0,72.89909403311465,27.100905966885346,0
Twin Cities,71899,52932,18967,0,73.61993908121114,26.380060918788857,0
West Central,6044,4605,1439,0,76.19126406353408,23.808735936465915,0
