Region,region_perc,region_count,sum
Central,14.754110463871479,19984,135447
Northland,5.023367073467851,6804,135447
Northwest,2.913316647840115,3946,135447
Southern,15.0376161893582,20368,135447
Southwest,4.726572017098939,6402,135447
Twin Cities,53.08275561658804,71899,135447
West Central,4.462261991775381,6044,135447
