Region,percent_true,percent_false,percent_unknown,total
Central,46.69735788630905,44.9759807846277,8.326661329063251,19984
Northland,44.42974720752498,46.119929453262785,9.450323339212229,6804
Northwest,47.79523568170299,43.740496705524585,8.464267612772428,3946
Southern,46.69088766692852,43.81873527101335,9.49037706205813,20368
Southwest,48.85973133395814,42.11184004998438,9.028428616057482,6402
Twin Cities,49.66689383718828,38.16186595084772,12.171240211964005,71899
West Central,48.95764394440768,42.868960953011246,8.173395102581074,6044
