Region,total,caringadult_true,caringadult_false,caringadult_na,percent_true,percent_false,percent_unknown
Central,19984,9332,8988,1664,46.69735788630905,44.9759807846277,8.326661329063251
Northland,6804,3023,3138,643,44.42974720752498,46.119929453262785,9.450323339212229
Northwest,3946,1886,1726,334,47.79523568170299,43.740496705524585,8.464267612772428
Southern,20368,9510,8925,1933,46.69088766692852,43.81873527101335,9.49037706205813
Southwest,6402,3128,2696,578,48.85973133395814,42.11184004998438,9.028428616057482
Twin Cities,71899,35710,27438,8751,49.66689383718828,38.16186595084772,12.171240211964005
West Central,6044,2959,2591,494,48.95764394440768,42.868960953011246,8.173395102581074
