Region,percent_true,percent_false,percent_unknown,total
Central,76.19095276220976,18.45476381104884,5.354283426741393,19984
Northland,75.47031158142269,19.297472075249853,5.232216343327455,6804
Northwest,74.17638114546376,20.831221490116576,4.9923973644196655,3946
Southern,75.17674783974863,19.398075412411625,5.425176747839749,20368
Southwest,72.89909403311465,21.8525460793502,5.248359887535145,6402
Twin Cities,73.61993908121114,18.91820470382064,7.461856214968219,71899
West Central,76.19126406353408,19.391131700860356,4.417604235605559,6044
